kdrg_code,aadrg_code,kdrg_name,mdc_code
A1580,A158,,
A1581,A158,,
A1590,A159,,
A1591,A159,,
A1600,A160,,
A1601,A160,,
A1610,A161,,
A1611,A161,,
A1620,A162,,
A1621,A162,,
A1630,A163,,
A1631,A163,,
A1640,A164,,
A1641,A164,,
A1650,A165,,
A1651,A165,,
A1670,A167,,
A1671,A167,,
A1680,A168,,
A1681,A168,,
A1690,A169,,
A1691,A169,,
A1700,A170,,
A1701,A170,,
A1702,A170,,
A1703,A170,,
A1704,A170,,
A1705,A170,,
A1706,A170,,
A1707,A170,,
A1708,A170,,
A1709,A170,,
A1710,A171,,
A1711,A171,,
A1712,A171,,
A1713,A171,,
A1714,A171,,
A1715,A171,,
A1716,A171,,
A1717,A171,,
A1718,A171,,
A1719,A171,,
A1780,A178,,
A1781,A178,,
A1782,A178,,
A1788,A178,,
A1790,A179,,
A1791,A179,,
A1792,A179,,
A1793,A179,,
A1794,A179,,
A1795,A179,,
A1796,A179,,
A1797,A179,,
A1798,A179,,
A1799,A179,,
A1800,A180,,
A1801,A180,,
A1802,A180,,
A1808,A180,,
A1810,A181,,
A1811,A181,,
A1812,A181,,
A1814,A181,,
A1817,A181,,
A1818,A181,,
A1819,A181,,
A1820,A182,,
A1821,A182,,
A1822,A182,,
A1823,A182,,
A1824,A182,,
A1825,A182,,
A1826,A182,,
A1827,A182,,
A1828,A182,,
A1829,A182,,
A1830,A183,,
A1831,A183,,
A1832,A183,,
A1840,A184,,
A1841,A184,,
A1842,A184,,
A1843,A184,,
A1844,A184,,
A1845,A184,,
A1846,A184,,
A1847,A184,,
A1848,A184,,
A1849,A184,,
A1850,A185,,
A1851,A185,,
A1852,A185,,
A1853,A185,,
A1854,A185,,
A1855,A185,,
A1856,A185,,
A1857,A185,,
A1858,A185,,
A1859,A185,,
A1860,A186,,
A1861,A186,,
A1862,A186,,
A1863,A186,,
A1864,A186,,
A1865,A186,,
A1866,A186,,
A1867,A186,,
A1868,A186,,
A1869,A186,,
A1870,A187,,
A1871,A187,,
A1872,A187,,
A1873,A187,,
A1874,A187,,
A1875,A187,,
A1876,A187,,
A1877,A187,,
A1878,A187,,
A1879,A187,,
A1882,A188,,
A1883,A188,,
A1888,A188,,
A1900,A190,,
A1901,A190,,
A1902,A190,,
A1903,A190,,
A1904,A190,,
A1905,A190,,
A1906,A190,,
A1907,A190,,
A1908,A190,,
A1909,A190,,
A1910,A191,,
A1911,A191,,
A1912,A191,,
A1913,A191,,
A1914,A191,,
A1915,A191,,
A1916,A191,,
A1917,A191,,
A1918,A191,,
A1919,A191,,
A1920,A192,,
A1921,A192,,
A1922,A192,,
A1923,A192,,
A1924,A192,,
A1925,A192,,
A1926,A192,,
A1927,A192,,
A1928,A192,,
A1929,A192,,
A1980,A198,,
A1981,A198,,
A1982,A198,,
A1983,A198,,
A1984,A198,,
A1985,A198,,
A1986,A198,,
A1987,A198,,
A1988,A198,,
A1989,A198,,
A1990,A199,,
A1991,A199,,
A1992,A199,,
A1993,A199,,
A1994,A199,,
A1995,A199,,
A1996,A199,,
A1997,A199,,
A1998,A199,,
A1999,A199,,
A2000,A200,,
A2001,A200,,
A2002,A200,,
A2003,A200,,
A2004,A200,,
A2005,A200,,
A2006,A200,,
A2007,A200,,
A2008,A200,,
A2009,A200,,
A2010,A201,,
A2011,A201,,
A2012,A201,,
A2013,A201,,
A2014,A201,,
A2015,A201,,
A2016,A201,,
A2017,A201,,
A2018,A201,,
A2019,A201,,
A2020,A202,,
A2021,A202,,
A2022,A202,,
A2023,A202,,
A2024,A202,,
A2025,A202,,
A2026,A202,,
A2027,A202,,
A2028,A202,,
A2029,A202,,
A2030,A203,,
A2031,A203,,
A2032,A203,,
A2033,A203,,
A2034,A203,,
A2035,A203,,
A2036,A203,,
A2037,A203,,
A2038,A203,,
A2039,A203,,
A2070,A207,,
A2071,A207,,
A2072,A207,,
A2073,A207,,
A2074,A207,,
A2075,A207,,
A2076,A207,,
A2077,A207,,
A2078,A207,,
A2079,A207,,
A2080,A208,,
A2081,A208,,
A2082,A208,,
A2083,A208,,
A2084,A208,,
A2085,A208,,
A2086,A208,,
A2087,A208,,
A2088,A208,,
A2089,A208,,
A2090,A209,,
A2091,A209,,
A2092,A209,,
A2093,A209,,
A2094,A209,,
A2095,A209,,
A2096,A209,,
A2097,A209,,
A2098,A209,,
A2099,A209,,
A2100,A210,,
A2101,A210,,
A2102,A210,,
A2103,A210,,
A2104,A210,,
A2105,A210,,
A2106,A210,,
A2107,A210,,
A2108,A210,,
A2109,A210,,
A2110,A211,,
A2111,A211,,
A2112,A211,,
A2113,A211,,
A2114,A211,,
A2115,A211,,
A2116,A211,,
A2117,A211,,
A2118,A211,,
A2119,A211,,
A2120,A212,,
A2121,A212,,
A2122,A212,,
A2123,A212,,
A2124,A212,,
A2125,A212,,
A2126,A212,,
A2127,A212,,
A2128,A212,,
A2129,A212,,
A2130,A213,,
A2131,A213,,
A2132,A213,,
A2133,A213,,
A2134,A213,,
A2135,A213,,
A2136,A213,,
A2137,A213,,
A2138,A213,,
A2139,A213,,
A2170,A217,,
A2171,A217,,
A2172,A217,,
A2173,A217,,
A2174,A217,,
A2175,A217,,
A2176,A217,,
A2177,A217,,
A2178,A217,,
A2179,A217,,
A2180,A218,,
A2181,A218,,
A2182,A218,,
A2183,A218,,
A2184,A218,,
A2185,A218,,
A2186,A218,,
A2187,A218,,
A2188,A218,,
A2189,A218,,
A2190,A219,,
A2191,A219,,
A2192,A219,,
A2193,A219,,
A2194,A219,,
A2195,A219,,
A2196,A219,,
A2197,A219,,
A2198,A219,,
A2199,A219,,
A2200,A220,,
A2201,A220,,
A2202,A220,,
A2203,A220,,
A2204,A220,,
A2205,A220,,
A2206,A220,,
A2207,A220,,
A2208,A220,,
A2209,A220,,
A2210,A221,,
A2211,A221,,
A2212,A221,,
A2213,A221,,
